ID,NoD,TAP,LCP,SLC,DC,SDC,BC,CC,TZ,SCZ,SDZ,CD,RCD,SD,RSD,ND,NR,SCR,RCR,RDC,NC,SCC,RCZ,RDZ,RCC,SDCC,BFN,FN,TFP
KDE/kscreen,50,18.3,46.44,57.87,0.015809,0.1812,0.00014,27.5,10,205.75,10.97,3,6,21,42,0.2155,115,25.61,6.38,16.66,3,5.77,116.1,6.6,387,333.19,0.94,0.044,47.76
KDE/ktnef,46,9.1,23,42.6,0.013,0.127,0.00003,19.74,6,93.91,11.09,2,4.34,5,10.86,0.105,234,8.94,1.2,6.28,7,4.02,84.5,9.5,72.14,110.4,0.95,0.038,29.63
KDE/libkdepim,24,16.4,109.54,4.04,0.03712,0.20713,0.000141,13.15,6,169.08,5.17,2,8.33,8,33.33,0.217,64,4.26,2.75,6,4,2.7,105.1667,5,157.75,259.45,0.916,0.046,0.59
apache/mina-sshd,52,5.56,1.8,1066.8,0.0141,0.1585,0.000014,26.3,8,295.98,11.36,3,5.76,17,33.33,0.131,28,48.65,62.46,10.4,5,6.34,227.125,7.75,363.4,411.73,0.94,0.007,39.4
python/mypy,340,3.5,0.28,238.6,0.002652,0.1084,0.0000004,179.59,19,824.49,29.24,8,2.34,118,34.7,0.1036,39,547.86,192.51,96.044,3,45.17,448.47,22.42,2965.96,3343.839,0.976,0.0154,35.62
KDE/ocs-webserver,6,75.75,16.092,5239.103,1,0,0,1,3,2610.747,2.3,6,100,2,33.33,1,0,0,0,6,1,0,3044.667,3.666,9134,0,0,0,25.65
eclipse/paho.mqtt.java,58,5.51,1.72,426,0.0101,0.111222,0.0000015,24.96,13,110.0995,4.91,2,3.44,29,50,0.107,14,63.99,46.42,14.5,4,8.185,57.69231,5.7692,187.5,207.32,0.96,0.00511,37.68
eclipse/xtext-xtend,53,11.15,1.85,204.67,0.009286,0.172097,0.0000012,29.15085,7,1164.5,16.82,7,13.46,18,33.96,0.2911,55,493.98,83.745,17.33,3,7.37,728.14,13.71,1698.33,1610.363,0.86,0.1324,48.75
rackerlabs/blueflood,46,16.11,2.7,1711.8,0.0086,0.1788,0.000019,25.19,9,382.06,9.899,9,19.56,18,39.13,0.337,15,416.85,162.466,15.33,3,9.073,329.667,9.333,989,741.22,0.8,0.0085,47.23
structr/structr,37,11.49,2.5,950.53,0.0236,0.2,0.000035,20.48,8,2551.44,8.01,2,5.4,16,43.24,0.2087,48,433.93,207.72,9.25,4,1.7,1376.12,7.5,2752.25,2353.132,0.94,0.0158,19.28
spotify/helios,75,13.06,1.3,68.32,0.00996,0.209,0.0000038,43.07,11,465.83,13.48,8,10.66,40,53.33,0.255,421,16.97,6.55,25,3,7.2,219.9,11.1,806.33,377.87,0.63,0.247,39.31
SonarSource/sonarqube,135,50.37,0.716,635.81,0.00561,0.1895,0.0000006,75.28,15,4609.74,26.33,13,9.6,67,49.62,0.214,172,157.47,78.01,45,3,20.66,4609.7,2054,9422,9908,0.9,0.0541,0
Unidata/thredds,51,17.12,1.6,574.45,0.01156,0.20124,0.00001,27.86,14,1449.26,7.2,11,21.56,13,25.46,0.304,60,653.88,156.96,5.44,3,10.2,674,6.64,1887.2,2879.91,0.78,0.012,0
